Millis,DutyCycle,ADC,Voltage(V),Resistance(ohm),LUX
1873, 0.0, 17.00, 0.01V, 2399411.75, 0.46
1931, 0.0, 16.20, 0.01V, 2518395.00, 0.44
1990, 0.0, 16.40, 0.01V, 2487561.00, 0.44
2048, 0.0, 14.20, 0.01V, 2874507.25, 0.39
2107, 0.0, 16.80, 0.01V, 2428095.50, 0.45
2165, 0.0, 17.80, 0.01V, 2291123.75, 0.48
2224, 0.0, 16.40, 0.01V, 2487561.00, 0.44
2282, 0.0, 18.00, 0.01V, 2265555.50, 0.48
2341, 0.0, 17.20, 0.01V, 2371395.25, 0.46
2399, 0.0, 20.00, 0.02V, 2038000.00, 0.52
2458, 0.0, 17.40, 0.01V, 2344023.00, 0.47
2517, 0.0, 16.80, 0.01V, 2428095.50, 0.45
2575, 0.0, 16.00, 0.01V, 2550000.00, 0.43
2634, 0.0, 21.60, 0.02V, 1886296.25, 0.56
2692, 0.0, 14.00, 0.01V, 2915714.00, 0.39
2751, 0.0, 17.60, 0.01V, 2317272.75, 0.47
2809, 0.0, 17.80, 0.01V, 2291123.75, 0.48
2868, 0.0, 16.20, 0.01V, 2518395.00, 0.44
2926, 0.0, 13.00, 0.01V, 3140769.25, 0.36
2985, 0.0, 16.80, 0.01V, 2428095.50, 0.45
3043, 0.0, 21.20, 0.02V, 1922075.50, 0.55
3102, 0.0, 16.40, 0.01V, 2487561.00, 0.44
3160, 0.0, 16.40, 0.01V, 2487561.00, 0.44
3219, 0.0, 16.20, 0.01V, 2518395.00, 0.44
3278, 0.0, 16.20, 0.01V, 2518395.00, 0.44
3336, 0.0, 17.40, 0.01V, 2344023.00, 0.47
3395, 0.0, 14.60, 0.01V, 2795479.50, 0.40
3453, 0.0, 20.60, 0.02V, 1978349.50, 0.54
3512, 0.0, 12.00, 0.01V, 3403333.50, 0.34
3570, 0.0, 13.60, 0.01V, 3001764.50, 0.38
3629, 0.0, 17.60, 0.01V, 2317272.75, 0.47
3687, 0.0, 16.80, 0.01V, 2428095.50, 0.45
3746, 0.0, 17.40, 0.01V, 2344023.00, 0.47
3804, 0.0, 12.00, 0.01V, 3403333.50, 0.34
3863, 0.0, 16.20, 0.01V, 2518395.00, 0.44
3921, 0.0, 16.60, 0.01V, 2457470.00, 0.45
