Millis;DutyCycle;ADC;Voltage(V);Resistance(ohm);LUX
132235; 0,0; 17; 0,01V; 2399411,75; 0,31
135285; 0,0; 17; 0,01V; 2399411,75; 0,31
135336; 0,0; 22; 0,02V; 1851818,25; 0,43
135386; 0,0; 17; 0,01V; 2399411,75; 0,31
135437; 0,0; 17; 0,01V; 2399411,75; 0,31
135488; 0,0; 17; 0,01V; 2399411,75; 0,31
135538; 0,0; 18; 0,01V; 2265555,50; 0,34
135589; 0,0; 17; 0,01V; 2399411,75; 0,31
135639; 0,0; 17; 0,01V; 2399411,75; 0,31
135690; 0,0; 17; 0,01V; 2399411,75; 0,31
135740; 0,0; 17; 0,01V; 2399411,75; 0,31
135791; 0,0; 5; 0,00V; 8182000,00; 0,07
135841; 0,0; 16; 0,01V; 2550000,00; 0,29
135892; 0,0; 17; 0,01V; 2399411,75; 0,31
135942; 0,0; 17; 0,01V; 2399411,75; 0,31
135993; 0,0; 17; 0,01V; 2399411,75; 0,31
136044; 0,0; 17; 0,01V; 2399411,75; 0,31
136094; 0,0; 17; 0,01V; 2399411,75; 0,31
136145; 0,0; 17; 0,01V; 2399411,75; 0,31
136195; 0,0; 16; 0,01V; 2550000,00; 0,29
136246; 0,0; 17; 0,01V; 2399411,75; 0,31
136296; 0,0; 16; 0,01V; 2550000,00; 0,29
136347; 0,0; 19; 0,02V; 2145789,50; 0,36
136397; 0,0; 17; 0,01V; 2399411,75; 0,31
136448; 0,0; 4; 0,00V; 10230000,00; 0,05
136498; 0,0; 17; 0,01V; 2399411,75; 0,31
136549; 0,0; 3; 0,00V; 13643334,00; 0,04
136600; 0,0; 17; 0,01V; 2399411,75; 0,31
136650; 0,0; 4; 0,00V; 10230000,00; 0,05
136701; 0,0; 20; 0,02V; 2038000,00; 0,38
136751; 0,0; 17; 0,01V; 2399411,75; 0,31
136802; 0,0; 20; 0,02V; 2038000,00; 0,38
136852; 0,0; 17; 0,01V; 2399411,75; 0,31
