Millis,DutyCycle,ADC,Voltage(V),Resistance(ohm),LUX
2477, 0.0, 30, 0.02V, 1355333.25, 0.64
2528, 0.0, 32, 0.03V, 1270000.00, 0.69
2578, 0.0, 32, 0.03V, 1270000.00, 0.69
2629, 0.0, 32, 0.03V, 1270000.00, 0.69
2679, 0.0, 32, 0.03V, 1270000.00, 0.69
2730, 0.0, 33, 0.03V, 1231212.12, 0.72
2780, 0.0, 32, 0.03V, 1270000.00, 0.69
2831, 0.0, 32, 0.03V, 1270000.00, 0.69
2882, 0.0, 32, 0.03V, 1270000.00, 0.69
2932, 0.0, 33, 0.03V, 1231212.12, 0.72
2983, 0.0, 33, 0.03V, 1231212.12, 0.72
3034, 0.0, 32, 0.03V, 1270000.00, 0.69
3084, 0.0, 32, 0.03V, 1270000.00, 0.69
3135, 0.0, 32, 0.03V, 1270000.00, 0.69
3185, 0.0, 31, 0.02V, 1311290.38, 0.67
3236, 0.0, 32, 0.03V, 1270000.00, 0.69
3287, 0.0, 31, 0.02V, 1311290.38, 0.67
3337, 0.0, 32, 0.03V, 1270000.00, 0.69
3388, 0.0, 32, 0.03V, 1270000.00, 0.69
3438, 0.0, 33, 0.03V, 1231212.12, 0.72
3489, 0.0, 32, 0.03V, 1270000.00, 0.69
3540, 0.0, 31, 0.02V, 1311290.38, 0.67
3590, 0.0, 32, 0.03V, 1270000.00, 0.69
3641, 0.0, 34, 0.03V, 1194705.88, 0.75
3692, 0.0, 31, 0.02V, 1311290.38, 0.67
3742, 0.0, 29, 0.02V, 1402413.75, 0.61
3793, 0.0, 33, 0.03V, 1231212.12, 0.72
3844, 0.0, 47, 0.04V, 861489.44, 1.12
3894, 0.0, 33, 0.03V, 1231212.12, 0.72
3945, 0.0, 30, 0.02V, 1355333.25, 0.64
3996, 0.0, 45, 0.04V, 900222.25, 1.06
4046, 0.0, 32, 0.03V, 1270000.00, 0.69
4097, 0.0, 33, 0.03V, 1231212.12, 0.72
4147, 0.0, 32, 0.03V, 1270000.00, 0.69
4198, 0.0, 32, 0.03V, 1270000.00, 0.69
4248, 0.0, 32, 0.03V, 1270000.00, 0.69
4299, 0.0, 32, 0.03V, 1270000.00, 0.69
4350, 0.0, 32, 0.03V, 1270000.00, 0.69
4400, 0.0, 32, 0.03V, 1270000.00, 0.69
4451, 0.0, 32, 0.03V, 1270000.00, 0.69
4501, 0.0, 32, 0.03V, 1270000.00, 0.69
4552, 0.0, 32, 0.03V, 1270000.00, 0.69
4602, 0.0, 31, 0.02V, 1311290.38, 0.67
4653, 0.0, 31, 0.02V, 1311290.38, 0.67
4704, 0.0, 32, 0.03V, 1270000.00, 0.69
4754, 0.0, 32, 0.03V, 1270000.00, 0.69
4805, 0.0, 32, 0.03V, 1270000.00, 0.69
4855, 0.0, 32, 0.03V, 1270000.00, 0.69
4906, 0.0, 58, 0.05V, 696206.88, 1.47
4957, 0.0, 32, 0.03V, 1270000.00, 0.69
5007, 0.0, 32, 0.03V, 1270000.00, 0.69
5058, 0.0, 32, 0.03V, 1270000.00, 0.69
5108, 0.0, 33, 0.03V, 1231212.12, 0.72
5159, 0.0, 31, 0.02V, 1311290.38, 0.67
5210, 0.0, 27, 0.02V, 1507037.00, 0.56
5260, 0.0, 32, 0.03V, 1270000.00, 0.69
5311, 0.0, 32, 0.03V, 1270000.00, 0.69
5361, 0.0, 33, 0.03V, 1231212.12, 0.72
5412, 0.0, 33, 0.03V, 1231212.12, 0.72
5463, 0.0, 32, 0.03V, 1270000.00, 0.69
5513, 0.0, 32, 0.03V, 1270000.00, 0.69
5564, 0.0, 50, 0.04V, 809200.00, 1.22
5614, 0.0, 28, 0.02V, 1452857.00, 0.59
5665, 0.0, 32, 0.03V, 1270000.00, 0.69
5715, 0.0, 32, 0.03V, 1270000.00, 0.69
5766, 0.0, 30, 0.02V, 1355333.25, 0.64
5817, 0.0, 32, 0.03V, 1270000.00, 0.69
5867, 0.0, 33, 0.03V, 1231212.12, 0.72
5918, 0.0, 32, 0.03V, 1270000.00, 0.69
5968, 0.0, 32, 0.03V, 1270000.00, 0.69
6019, 0.1, 27, 0.02V, 1507037.00, 0.56
6070, 0.1, 32, 0.03V, 1270000.00, 0.69
6120, 0.1, 33, 0.03V, 1231212.12, 0.72
6171, 0.1, 33, 0.03V, 1231212.12, 0.72
6222, 0.1, 35, 0.03V, 1160285.75, 0.77
6272, 0.1, 34, 0.03V, 1194705.88, 0.75
6323, 0.1, 33, 0.03V, 1231212.12, 0.72
6374, 0.1, 35, 0.03V, 1160285.75, 0.77
6425, 0.1, 35, 0.03V, 1160285.75, 0.77
6475, 0.1, 32, 0.03V, 1270000.00, 0.69
6526, 0.1, 36, 0.03V, 1127777.75, 0.80
6577, 0.1, 36, 0.03V, 1127777.75, 0.80
6627, 0.1, 37, 0.03V, 1097027.00, 0.83
6678, 0.1, 37, 0.03V, 1097027.00, 0.83
6728, 0.1, 37, 0.03V, 1097027.00, 0.83
6779, 0.1, 37, 0.03V, 1097027.00, 0.83
6830, 0.1, 36, 0.03V, 1127777.75, 0.80
6880, 0.1, 38, 0.03V, 1067894.75, 0.86
6931, 0.1, 38, 0.03V, 1067894.75, 0.86
6982, 0.1, 38, 0.03V, 1067894.75, 0.86
7032, 0.1, 38, 0.03V, 1067894.75, 0.86
7083, 0.1, 40, 0.03V, 1014000.00, 0.92
7134, 0.1, 40, 0.03V, 1014000.00, 0.92
7184, 0.1, 41, 0.03V, 989024.38, 0.95
7235, 0.1, 45, 0.04V, 900222.25, 1.06
7286, 0.1, 40, 0.03V, 1014000.00, 0.92
7336, 0.1, 39, 0.03V, 1040256.44, 0.89
7387, 0.1, 47, 0.04V, 861489.44, 1.12
7438, 0.1, 41, 0.03V, 989024.38, 0.95
7488, 0.1, 55, 0.04V, 734727.25, 1.37
7539, 0.1, 41, 0.03V, 989024.38, 0.95
7590, 0.1, 41, 0.03V, 989024.38, 0.95
7641, 0.1, 40, 0.03V, 1014000.00, 0.92
7691, 0.1, 41, 0.03V, 989024.38, 0.95
7742, 0.1, 42, 0.03V, 965238.12, 0.98
7793, 0.1, 42, 0.03V, 965238.12, 0.98
7844, 0.1, 41, 0.03V, 989024.38, 0.95
7894, 0.1, 42, 0.03V, 965238.12, 0.98
7945, 0.1, 42, 0.03V, 965238.12, 0.98
7996, 0.1, 42, 0.03V, 965238.12, 0.98
8047, 0.1, 38, 0.03V, 1067894.75, 0.86
8097, 0.1, 42, 0.03V, 965238.12, 0.98
8148, 0.1, 43, 0.03V, 942558.12, 1.00
8199, 0.1, 43, 0.03V, 942558.12, 1.00
8250, 0.1, 42, 0.03V, 965238.12, 0.98
8300, 0.1, 42, 0.03V, 965238.12, 0.98
8351, 0.1, 38, 0.03V, 1067894.75, 0.86
8402, 0.1, 43, 0.03V, 942558.12, 1.00
8452, 0.1, 43, 0.03V, 942558.12, 1.00
8503, 0.1, 52, 0.04V, 777692.31, 1.28
8554, 0.1, 44, 0.04V, 920909.12, 1.03
8605, 0.1, 44, 0.04V, 920909.12, 1.03
8655, 0.1, 44, 0.04V, 920909.12, 1.03
8706, 0.1, 42, 0.03V, 965238.12, 0.98
8757, 0.1, 44, 0.04V, 920909.12, 1.03
8808, 0.1, 44, 0.04V, 920909.12, 1.03
8858, 0.1, 43, 0.03V, 942558.12, 1.00
8909, 0.1, 44, 0.04V, 920909.12, 1.03
8960, 0.1, 56, 0.05V, 721428.50, 1.40
9011, 0.1, 44, 0.04V, 920909.12, 1.03
9061, 0.1, 44, 0.04V, 920909.12, 1.03
9112, 0.1, 44, 0.04V, 920909.12, 1.03
9163, 0.1, 45, 0.04V, 900222.25, 1.06
9214, 0.1, 44, 0.04V, 920909.12, 1.03
9264, 0.1, 44, 0.04V, 920909.12, 1.03
9315, 0.1, 44, 0.04V, 920909.12, 1.03
9366, 0.1, 44, 0.04V, 920909.12, 1.03
9417, 0.1, 44, 0.04V, 920909.12, 1.03
9467, 0.1, 44, 0.04V, 920909.12, 1.03
9518, 0.1, 46, 0.04V, 880434.75, 1.09
9569, 0.1, 44, 0.04V, 920909.12, 1.03
9619, 0.1, 45, 0.04V, 900222.25, 1.06
9670, 0.1, 45, 0.04V, 900222.25, 1.06
9721, 0.1, 46, 0.04V, 880434.75, 1.09
9771, 0.1, 45, 0.04V, 900222.25, 1.06
9822, 0.1, 45, 0.04V, 900222.25, 1.06
9873, 0.1, 45, 0.04V, 900222.25, 1.06
9923, 0.1, 43, 0.03V, 942558.12, 1.00
9974, 0.1, 44, 0.04V, 920909.12, 1.03
10025, 0.1, 45, 0.04V, 900222.25, 1.06
10076, 0.1, 45, 0.04V, 900222.25, 1.06
10126, 0.1, 44, 0.04V, 920909.12, 1.03
10177, 0.1, 45, 0.04V, 900222.25, 1.06
10228, 0.1, 44, 0.04V, 920909.12, 1.03
10278, 0.1, 45, 0.04V, 900222.25, 1.06
10329, 0.1, 43, 0.03V, 942558.12, 1.00
10380, 0.1, 44, 0.04V, 920909.12, 1.03
10431, 0.1, 45, 0.04V, 900222.25, 1.06
10481, 0.1, 46, 0.04V, 880434.75, 1.09
10532, 0.1, 46, 0.04V, 880434.75, 1.09
10583, 0.1, 45, 0.04V, 900222.25, 1.06
10633, 0.1, 44, 0.04V, 920909.12, 1.03
10684, 0.1, 44, 0.04V, 920909.12, 1.03
10735, 0.1, 60, 0.05V, 672666.62, 1.53
10785, 0.1, 45, 0.04V, 900222.25, 1.06
10836, 0.1, 44, 0.04V, 920909.12, 1.03
10887, 0.1, 59, 0.05V, 684237.31, 1.50
10938, 0.1, 45, 0.04V, 900222.25, 1.06
10988, 0.1, 41, 0.03V, 989024.38, 0.95
11039, 0.1, 46, 0.04V, 880434.75, 1.09
11090, 0.1, 46, 0.04V, 880434.75, 1.09
11140, 0.1, 46, 0.04V, 880434.75, 1.09
11191, 0.1, 46, 0.04V, 880434.75, 1.09
11242, 0.1, 46, 0.04V, 880434.75, 1.09
11292, 0.1, 45, 0.04V, 900222.25, 1.06
11343, 0.1, 46, 0.04V, 880434.75, 1.09
11393, 0.1, 46, 0.04V, 880434.75, 1.09
11444, 0.1, 46, 0.04V, 880434.75, 1.09
11495, 0.1, 45, 0.04V, 900222.25, 1.06
11545, 0.1, 47, 0.04V, 861489.44, 1.12
11596, 0.1, 47, 0.04V, 861489.44, 1.12
11647, 0.1, 46, 0.04V, 880434.75, 1.09
11697, 0.1, 48, 0.04V, 843333.38, 1.15
11748, 0.1, 46, 0.04V, 880434.75, 1.09
11799, 0.1, 60, 0.05V, 672666.62, 1.53
11850, 0.1, 46, 0.04V, 880434.75, 1.09
11900, 0.1, 60, 0.05V, 672666.62, 1.53
11951, 0.1, 47, 0.04V, 861489.44, 1.12
12002, 0.1, 48, 0.04V, 843333.38, 1.15
12052, 0.2, 45, 0.04V, 900222.25, 1.06
12103, 0.2, 29, 0.02V, 1402413.75, 0.61
12154, 0.2, 52, 0.04V, 777692.31, 1.28
12204, 0.2, 55, 0.04V, 734727.25, 1.37
12255, 0.2, 56, 0.05V, 721428.50, 1.40
12305, 0.2, 49, 0.04V, 825918.38, 1.19
12356, 0.2, 58, 0.05V, 696206.88, 1.47
12407, 0.2, 59, 0.05V, 684237.31, 1.50
12457, 0.2, 55, 0.04V, 734727.25, 1.37
12508, 0.2, 52, 0.04V, 777692.31, 1.28
12559, 0.2, 61, 0.05V, 661475.38, 1.56
12609, 0.2, 62, 0.05V, 650645.19, 1.60
12660, 0.2, 61, 0.05V, 661475.38, 1.56
12711, 0.2, 62, 0.05V, 650645.19, 1.60
12761, 0.2, 62, 0.05V, 650645.19, 1.60
12812, 0.2, 62, 0.05V, 650645.19, 1.60
12862, 0.2, 62, 0.05V, 650645.19, 1.60
12913, 0.2, 64, 0.05V, 630000.00, 1.66
12964, 0.2, 62, 0.05V, 650645.19, 1.60
13014, 0.2, 63, 0.05V, 640158.75, 1.63
13065, 0.2, 64, 0.05V, 630000.00, 1.66
13115, 0.2, 64, 0.05V, 630000.00, 1.66
13166, 0.2, 64, 0.05V, 630000.00, 1.66
