Millis,PWM,ADC,Voltage(V),Resistance(ohm),LUX
755972,0.3,48,0.04,843333.38,1.15
755974,0.3,56,0.05,721428.5,1.4
755975,0.3,47,0.04,861489.44,1.12
755976,0.3,48,0.04,843333.38,1.15
755977,0.3,46,0.04,880434.75,1.09
755978,0.3,48,0.04,843333.38,1.15
755979,0.3,48,0.04,843333.38,1.15
755980,0.3,46,0.04,880434.75,1.09
755981,0.3,38,0.03,1067894.75,0.86
755982,0.3,47,0.04,861489.44,1.12
755983,0.3,48,0.04,843333.38,1.15
755985,0.3,47,0.04,861489.44,1.12
755986,0.3,64,0.05,630000.0,1.66
755987,0.3,48,0.04,843333.38,1.15
755988,0.3,48,0.04,843333.38,1.15
755989,0.3,35,0.03,1160285.75,0.77
755990,0.3,47,0.04,861489.44,1.12
755991,0.3,49,0.04,825918.38,1.19
755992,0.3,48,0.04,843333.38,1.15
755994,0.3,51,0.04,793137.19,1.25
755995,0.3,48,0.04,843333.38,1.15
755996,0.3,48,0.04,843333.38,1.15
755997,0.3,47,0.04,861489.44,1.12
755998,0.3,47,0.04,861489.44,1.12
755999,0.3,48,0.04,843333.38,1.15
756000,0.3,48,0.04,843333.38,1.15
756001,0.3,48,0.04,843333.38,1.15
756003,0.3,48,0.04,843333.38,1.15
756004,0.3,38,0.03,1067894.75,0.86
756005,0.3,46,0.04,880434.75,1.09
756006,0.3,47,0.04,861489.44,1.12
756007,0.3,47,0.04,861489.44,1.12
756008,0.3,46,0.04,880434.75,1.09
756009,0.3,48,0.04,843333.38,1.15
756010,0.3,49,0.04,825918.38,1.19
756011,0.3,48,0.04,843333.38,1.15
756013,0.3,65,0.05,620153.88,1.7
756014,0.3,51,0.04,793137.19,1.25
756015,0.3,46,0.04,880434.75,1.09
756016,0.3,48,0.04,843333.38,1.15
756017,0.3,48,0.04,843333.38,1.15
756018,0.3,48,0.04,843333.38,1.15
756020,0.3,48,0.04,843333.38,1.15
756021,0.3,49,0.04,825918.38,1.19
756022,0.3,51,0.04,793137.19,1.25
756023,0.3,81,0.07,495679.03,2.24
756024,0.3,50,0.04,809200.0,1.22
756025,0.3,49,0.04,825918.38,1.19
756026,0.3,48,0.04,843333.38,1.15
756028,0.3,49,0.04,825918.38,1.19
756029,0.3,47,0.04,861489.44,1.12
756030,0.3,48,0.04,843333.38,1.15
756031,0.3,48,0.04,843333.38,1.15
756032,0.3,48,0.04,843333.38,1.15
756034,0.3,48,0.04,843333.38,1.15
756035,0.3,47,0.04,861489.44,1.12
756036,0.3,48,0.04,843333.38,1.15
756037,0.3,48,0.04,843333.38,1.15
756038,0.3,37,0.03,1097027.0,0.83
756039,0.3,36,0.03,1127777.75,0.8
756040,0.3,48,0.04,843333.38,1.15
756042,0.3,46,0.04,880434.75,1.09
756042,0.3,47,0.04,861489.44,1.12
756043,0.3,49,0.04,825918.38,1.19
756045,0.3,47,0.04,861489.44,1.12
756046,0.3,66,0.05,610606.06,1.73
756047,0.3,48,0.04,843333.38,1.15
756048,0.3,48,0.04,843333.38,1.15
756049,0.3,48,0.04,843333.38,1.15
756050,0.3,47,0.04,861489.44,1.12
756051,0.3,48,0.04,843333.38,1.15
756052,0.3,48,0.04,843333.38,1.15
756054,0.3,48,0.04,843333.38,1.15
756055,0.3,48,0.04,843333.38,1.15
756056,0.3,49,0.04,825918.38,1.19
756058,0.3,50,0.04,809200.0,1.22
756058,0.3,45,0.04,900222.25,1.06
756059,0.3,48,0.04,843333.38,1.15
756061,0.3,50,0.04,809200.0,1.22
756062,0.3,48,0.04,843333.38,1.15
756063,0.3,47,0.04,861489.44,1.12
756064,0.3,48,0.04,843333.38,1.15
756065,0.3,48,0.04,843333.38,1.15
756066,0.3,50,0.04,809200.0,1.22
756067,0.3,48,0.04,843333.38,1.15
756069,0.3,48,0.04,843333.38,1.15
756070,0.3,49,0.04,825918.38,1.19
756071,0.3,48,0.04,843333.38,1.15
756072,0.3,48,0.04,843333.38,1.15
756074,0.3,48,0.04,843333.38,1.15
756075,0.3,48,0.04,843333.38,1.15
756076,0.3,33,0.03,1231212.12,0.72
756077,0.3,48,0.04,843333.38,1.15
756079,0.3,51,0.04,793137.19,1.25
756080,0.3,48,0.04,843333.38,1.15
756081,0.3,48,0.04,843333.38,1.15
756082,0.3,48,0.04,843333.38,1.15
756083,0.3,48,0.04,843333.38,1.15
756085,0.3,46,0.04,880434.75,1.09
756086,0.3,48,0.04,843333.38,1.15
756087,0.3,48,0.04,843333.38,1.15
756088,0.3,48,0.04,843333.38,1.15
756089,0.3,48,0.04,843333.38,1.15
756091,0.3,48,0.04,843333.38,1.15
756092,0.3,51,0.04,793137.19,1.25
756093,0.3,48,0.04,843333.38,1.15
756094,0.3,48,0.04,843333.38,1.15
756095,0.3,34,0.03,1194705.88,0.75
756097,0.3,48,0.04,843333.38,1.15
756098,0.3,48,0.04,843333.38,1.15
756099,0.3,48,0.04,843333.38,1.15
756100,0.3,48,0.04,843333.38,1.15
756102,0.3,49,0.04,825918.38,1.19
756103,0.3,49,0.04,825918.38,1.19
756104,0.3,48,0.04,843333.38,1.15
756105,0.3,48,0.04,843333.38,1.15
756107,0.3,48,0.04,843333.38,1.15
756108,0.3,48,0.04,843333.38,1.15
756109,0.3,48,0.04,843333.38,1.15
756110,0.3,47,0.04,861489.44,1.12
756111,0.3,48,0.04,843333.38,1.15
756113,0.3,48,0.04,843333.38,1.15
756114,0.3,49,0.04,825918.38,1.19
756115,0.3,36,0.03,1127777.75,0.8
756116,0.3,48,0.04,843333.38,1.15
756118,0.3,48,0.04,843333.38,1.15
756119,0.3,49,0.04,825918.38,1.19
756120,0.3,47,0.04,861489.44,1.12
756121,0.3,48,0.04,843333.38,1.15
756122,0.3,81,0.07,495679.03,2.24
756123,0.3,48,0.04,843333.38,1.15
756124,0.3,48,0.04,843333.38,1.15
756126,0.3,51,0.04,793137.19,1.25
756127,0.3,48,0.04,843333.38,1.15
756128,0.3,49,0.04,825918.38,1.19
756129,0.3,50,0.04,809200.0,1.22
756130,0.3,53,0.04,762830.19,1.31
756131,0.3,48,0.04,843333.38,1.15
756132,0.3,49,0.04,825918.38,1.19
756134,0.3,53,0.04,762830.19,1.31
756135,0.3,49,0.04,825918.38,1.19
756136,0.3,48,0.04,843333.38,1.15
756137,0.3,48,0.04,843333.38,1.15
756138,0.3,48,0.04,843333.38,1.15
756140,0.3,48,0.04,843333.38,1.15
756141,0.3,48,0.04,843333.38,1.15
756142,0.3,48,0.04,843333.38,1.15
756143,0.3,47,0.04,861489.44,1.12
756144,0.3,48,0.04,843333.38,1.15
756146,0.3,48,0.04,843333.38,1.15
756147,0.3,49,0.04,825918.38,1.19
756148,0.3,48,0.04,843333.38,1.15
756149,0.3,47,0.04,861489.44,1.12
756150,0.3,49,0.04,825918.38,1.19
756152,0.3,44,0.04,920909.12,1.03
756154,0.3,48,0.04,843333.38,1.15
756155,0.3,49,0.04,825918.38,1.19
756156,0.3,49,0.04,825918.38,1.19
756158,0.3,48,0.04,843333.38,1.15
757027,0.3,49,0.04,825918.38,1.19
757028,0.3,50,0.04,809200.0,1.22
757029,0.3,50,0.04,809200.0,1.22
757030,0.3,50,0.04,809200.0,1.22
757031,0.3,50,0.04,809200.0,1.22
757032,0.3,50,0.04,809200.0,1.22
757033,0.3,50,0.04,809200.0,1.22
757034,0.3,51,0.04,793137.19,1.25
757035,0.3,50,0.04,809200.0,1.22
757036,0.3,50,0.04,809200.0,1.22
757037,0.3,49,0.04,825918.38,1.19
757038,0.3,38,0.03,1067894.75,0.86
757039,0.3,46,0.04,880434.75,1.09
757040,0.3,50,0.04,809200.0,1.22
757041,0.3,50,0.04,809200.0,1.22
757042,0.3,50,0.04,809200.0,1.22
757043,0.3,52,0.04,777692.31,1.28
757044,0.3,53,0.04,762830.19,1.31
757045,0.3,50,0.04,809200.0,1.22
757046,0.3,50,0.04,809200.0,1.22
757047,0.3,54,0.04,748518.5,1.34
757048,0.3,50,0.04,809200.0,1.22
757049,0.4,50,0.04,809200.0,1.22
757050,0.4,50,0.04,809200.0,1.22
757051,0.4,50,0.04,809200.0,1.22
757052,0.4,50,0.04,809200.0,1.22
757053,0.4,50,0.04,809200.0,1.22
757054,0.4,50,0.04,809200.0,1.22
757055,0.4,50,0.04,809200.0,1.22
757056,0.4,51,0.04,793137.19,1.25
757057,0.4,39,0.03,1040256.44,0.89
757058,0.4,51,0.04,793137.19,1.25
757059,0.4,50,0.04,809200.0,1.22
757060,0.4,44,0.04,920909.12,1.03
757061,0.4,51,0.04,793137.19,1.25
757062,0.4,51,0.04,793137.19,1.25
757063,0.4,51,0.04,793137.19,1.25
757064,0.4,52,0.04,777692.31,1.28
757065,0.4,52,0.04,777692.31,1.28
757066,0.4,52,0.04,777692.31,1.28
757067,0.4,40,0.03,1014000.0,0.92
757068,0.4,52,0.04,777692.31,1.28
757069,0.4,53,0.04,762830.19,1.31
757070,0.4,52,0.04,777692.31,1.28
757071,0.4,53,0.04,762830.19,1.31
757072,0.4,58,0.05,696206.88,1.47
757073,0.4,45,0.04,900222.25,1.06
757074,0.4,57,0.05,708596.5,1.44
757075,0.4,53,0.04,762830.19,1.31
757076,0.4,52,0.04,777692.31,1.28
757077,0.4,53,0.04,762830.19,1.31
757078,0.4,53,0.04,762830.19,1.31
757079,0.4,53,0.04,762830.19,1.31
757927,0.4,75,0.06,536133.31,2.03
757928,0.4,75,0.06,536133.31,2.03
757929,0.4,74,0.06,543513.5,2.0
757930,0.4,75,0.06,536133.31,2.03
757931,0.4,74,0.06,543513.5,2.0
757932,0.4,74,0.06,543513.5,2.0
757933,0.4,73,0.06,551095.88,1.97
757934,0.4,74,0.06,543513.5,2.0
757935,0.4,74,0.06,543513.5,2.0
757936,0.4,75,0.06,536133.31,2.03
757937,0.4,75,0.06,536133.31,2.03
757938,0.4,76,0.06,528947.38,2.07
757939,0.4,73,0.06,551095.88,1.97
757940,0.4,74,0.06,543513.5,2.0
757941,0.4,74,0.06,543513.5,2.0
757942,0.4,76,0.06,528947.38,2.07
757943,0.4,75,0.06,536133.31,2.03
757945,0.4,74,0.06,543513.5,2.0
757946,0.4,77,0.06,521948.06,2.1
757947,0.4,75,0.06,536133.31,2.03
757948,0.4,67,0.05,601343.31,1.76
757948,0.4,74,0.06,543513.5,2.0
757949,0.4,74,0.06,543513.5,2.0
757950,0.4,74,0.06,543513.5,2.0
757951,0.4,74,0.06,543513.5,2.0
757952,0.4,75,0.06,536133.31,2.03
757953,0.4,74,0.06,543513.5,2.0
757954,0.4,74,0.06,543513.5,2.0
757955,0.4,75,0.06,536133.31,2.03
757956,0.4,75,0.06,536133.31,2.03
757957,0.4,75,0.06,536133.31,2.03
757958,0.4,75,0.06,536133.31,2.03
757959,0.4,75,0.06,536133.31,2.03
757960,0.4,75,0.06,536133.31,2.03
757961,0.4,74,0.06,543513.5,2.0
757962,0.4,74,0.06,543513.5,2.0
757963,0.4,74,0.06,543513.5,2.0
757964,0.4,74,0.06,543513.5,2.0
757965,0.4,75,0.06,536133.31,2.03
757966,0.4,74,0.06,543513.5,2.0
757967,0.4,74,0.06,543513.5,2.0
757968,0.4,74,0.06,543513.5,2.0
757969,0.4,74,0.06,543513.5,2.0
757970,0.4,74,0.06,543513.5,2.0
757971,0.4,78,0.06,515128.22,2.14
757972,0.4,74,0.06,543513.5,2.0
757973,0.4,74,0.06,543513.5,2.0
757974,0.4,74,0.06,543513.5,2.0
757975,0.4,74,0.06,543513.5,2.0
757976,0.4,81,0.07,495679.03,2.24
757976,0.4,77,0.06,521948.06,2.1
757977,0.4,74,0.06,543513.5,2.0
757978,0.4,74,0.06,543513.5,2.0
757979,0.4,75,0.06,536133.31,2.03
757980,0.4,75,0.06,536133.31,2.03
757981,0.4,74,0.06,543513.5,2.0
758928,0.4,81,0.07,495679.03,2.24
758929,0.4,67,0.05,601343.31,1.76
758930,0.4,66,0.05,610606.06,1.73
758931,0.4,76,0.06,528947.38,2.07
758932,0.4,76,0.06,528947.38,2.07
758933,0.4,76,0.06,528947.38,2.07
758935,0.4,75,0.06,536133.31,2.03
758936,0.4,75,0.06,536133.31,2.03
758937,0.4,76,0.06,528947.38,2.07
758938,0.4,76,0.06,528947.38,2.07
758939,0.4,76,0.06,528947.38,2.07
758940,0.4,76,0.06,528947.38,2.07
758942,0.4,77,0.06,521948.06,2.1
758943,0.4,77,0.06,521948.06,2.1
758944,0.4,77,0.06,521948.06,2.1
758945,0.4,75,0.06,536133.31,2.03
758946,0.4,80,0.06,502000.0,2.21
758947,0.4,76,0.06,528947.38,2.07
758948,0.4,80,0.06,502000.0,2.21
758949,0.4,76,0.06,528947.38,2.07
758950,0.4,76,0.06,528947.38,2.07
758951,0.4,76,0.06,528947.38,2.07
758953,0.4,82,0.07,489512.19,2.28
758954,0.4,65,0.05,620153.88,1.7
758955,0.4,76,0.06,528947.38,2.07
758956,0.4,75,0.06,536133.31,2.03
758957,0.4,82,0.07,489512.19,2.28
758958,0.4,76,0.06,528947.38,2.07
