Millis:58951, PWM:0.7, ADC:137, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:58952, PWM:0.7, ADC:138, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.53
Millis:58953, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.40
Millis:58954, PWM:0.7, ADC:139, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:58955, PWM:0.7, ADC:154, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:58956, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:58957, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:58958, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:259473.69ohm, LUX:4.87
Millis:58959, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.87
Millis:58960, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:274444.44ohm, LUX:4.91
Millis:58961, PWM:0.7, ADC:152, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:58962, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:58963, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:58964, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:58965, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.74
Millis:58966, PWM:0.7, ADC:139, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.83
Millis:58967, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:359009.03ohm, LUX:4.91
Millis:58968, PWM:0.7, ADC:147, Voltage:0.14V, Resistance:264899.34ohm, LUX:4.87
Millis:58969, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:58970, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
Millis:58971, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.87
Millis:58972, PWM:0.7, ADC:149, Voltage:0.11V, Resistance:266756.75ohm, LUX:4.87
Millis:58973, PWM:0.7, ADC:148, Voltage:0.12V, Resistance:261258.28ohm, LUX:4.87
Millis:58974, PWM:0.7, ADC:141, Voltage:0.12V, Resistance:264899.34ohm, LUX:4.87
Millis:58975, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:5.04
Millis:58976, PWM:0.7, ADC:149, Voltage:0.12V, Resistance:266756.75ohm, LUX:4.91
